,company_x,company_y;
168,Saxion University of Applied Sciences,Thetford Europe;
169,Lions Clubs International,appnormal.com;
170,Little Rocket,Creative CT - Growth Driven E-commerce;
171,Little Rocket,Jool Software Professionals;
172,Little Rocket,Zorggroep Sint Maarten;
173,Little Rocket,Salesforce;
174,Saxion University of Applied Sciences,Ferris State University;
175,Little Rocket I Data & Digital Innovation,Nedap;
176,Little Rocket,PCI Nederland;
177,Saxion University of Applied Sciences,Rijkswaterstaat;
178,Saxion University of Applied Sciences,ICT&health;
179,Little Rocket,Vettt | Het inspiratieplatform voor ouders in Twente;
180,Saxion University of Applied Sciences,Koninklijke Utermöhlen NV;
181,Little Rocket,VLMedia;
182,Little Rocket I Data & Digital Innovation,Equinix EMEA;
183,Lions Clubs International,Wolbert BouwRegie;
184,Little Rocket,Geen Blad voor de Mond;
185,Little Rocket,Tuur Training | Coaching;
186,Little Rocket,Vergader Jezelf Gelukkig;
187,Little Rocket,OVSoftware Groep B.V.;
188,Lions Clubs International,Tilburg University;
189,Saxion University of Applied Sciences,Nedap Security Management;
190,little rocket,BDO Nederland;
191,Little Rocket,GX;
192,Saxion University of Applied Sciences,LeasePlan;
193,Saxion University of Applied Sciences,Fortes Solutions;
194,Koninklijke Grolsch,Grolsche Bierbrouwerij Nederland B.V.;
195,Saxion University of Applied Sciences,Rabobank;
196,Little Rocket,Eijsink;
197,Little Rocket | Data + digitale innovatie,IntelliCrew;
198,Little Rocket I Data & Digital Innovation,Hypotheek en Krediet Groep;
199,Koninklijke Grolsch,Basic-Fit;
200,Little Rocket I Data + digitale innovatie,Tergooi;
201,Koninklijke Grolsch,Baker Hughes;
202,Lions Clubs International,St. Sint Nicolaasstichting / Zusters van Denekamp;
203,Koninklijke Grolsch,Vereniging Eigen Huis;
204,Little Rocket,Peterman autogroep;
205,Little Rocket,Coöperatieve vereniging Dimpact UA;
206,Little Rocket,Raakkracht | Strategie & communicatie;
207,Saxion University of Applied Sciences,Lyceo;
208,Little Rocket,Gemeente Den Haag;
209,little rocket,Adwise - Your Digital Brain ;
"210,Little Rocket,""University of Twente, Enschede, The Netherlands""";
211,Little Rocket,Sportfysiotherapeut;
212,Saxion University of Applied Sciences,Wouter Kleinsman - No-Nonsense Coaching;
213,Little Rocket,Scribent;
214,Lions Clubs International,Gemeente Wierden;
215,Saxion University of Applied Sciences,Nieuwnieuws;
216,Lions Clubs International,Haafkes Nijkamp & Van Gurp Advocaten;
217,Little Rocket,Ambassadors;
218,Saxion University of Applied Sciences,Blockchain Innovation Conference;
219,Little Rocket,Groeneveld / Semmekrot Accountants en Belastingadviseurs B.V.;
220,Little Rocket,VolkerWessels BVGO-ICT;
221,Lions Clubs International,Mr. Ynk;
222,Koninklijke Grolsch,Inditex;
223,Little Rocket I Data + digitale innovatie,De Paauw Sustainable Resources;
224,Saxion University of Applied Sciences,Studio Lauda;
225,Saxion University of Applied Sciences,Aexus;
226,Saxion University of Applied Sciences,yuccaHR;
227,Koninklijke Grolsch,BeyondFive;
228,Saxion University of Applied Sciences,Gemeente Almelo;
229,Little Rocket | Data + digitale innovatie,Wijkamp Werkt B.V.;
230,Little Rocket,TRIMM;
231,Little Rocket I Data & Digital Innovation,GAMMA Bouwmarkt;
232,Little Rocket,Fundiz Donations;
233,Little Rocket | Data + digitale innovatie,Technical University of Munich;
234,Saxion University of Applied Sciences,UWV;
235,Little Rocket,Mediahuis Twente;
236,Little Rocket,Saxion Hogeschool;
237,Koninklijke Grolsch,Laurene Quintin Marketing;
238,Saxion University of Applied Sciences,Eaton;
239,Saxion University of Applied Sciences,ZorgDomein;
240,Little Rocket I Data & Digital Innovation,Jena Surgical;
241,Little Rocket,Skischule Kirchberg;
242,Little Rocket,David Bakker Pensioen Consultancy ;
243,Koninklijke Grolsch,Coulisse B.V.;
244,Little Rocket,Euro-Chemicals B.V.;
245,Saxion University of Applied Sciences,Doornroosje;
246,Saxion University of Applied Sciences,CODE14;
247,Little Rocket I Data & Digital Innovation,Precision For Medicine;
248,Lions Clubs International,KienhuisHoving advocaten en notarissen;
249,Little Rocket,Koninklijke Marine Reserve;
250,Koninklijke Grolsch,KPN;
251,Saxion University of Applied Sciences,Gemeente Nissewaard;
252,Little Rocket,Innovadis B.V.;
253,Little Rocket,Van Appeldoorn Transport & Logistics & Van Appeldoorn Chemical logistics BV;
254,Little Rocket,Data Science District;
255,Lions Clubs International,Comotive;
256,Koninklijke Grolsch,Hedon;
257,Little Rocket,Huiskes-Kokkeler Autogroep;
258,Lions Clubs International,Aluminium Gieterij Oldenzaal b.v.;
259,Saxion University of Applied Sciences,KroeseWevers;
260,Koninklijke Grolsch,Productsup;
261,Koninklijke Grolsch,GotCourts;
262,Lions Clubs International,Sintrex Transport Service bv;
263,Little Rocket,De Reclamefabriek;
264,Saxion University of Applied Sciences,Amac | Apple Premium Reseller;
265,Little Rocket | Data + digitale innovatie,UMCG;
266,Little Rocket,Sint Maartenskliniek;
267,Little Rocket,HEMA;
"268,Saxion University of Applied Sciences,""Koninklijke Bibliotheek (KB), nationale bibliotheek""";
269,Saxion University of Applied Sciences,vrije universiteit;
270,Little Rocket,De Twentsche Courant Tubantia/ De Persgroep Nederland;
271,Saxion University of Applied Sciences,Factstory;
272,Little Rocket I Data & Digital Innovation,University of Twente;
273,Little Rocket,Waste Vision;
274,Little Rocket,Radboud University;
275,Lions Clubs International,Hogeschool Saxion;
276,Little Rocket | Data + digitale innovatie,The HEINEKEN Company;
277,Little Rocket I Data + digitale innovatie,Frilans;
278,Little Rocket,Gemeente Dinkelland;
279,Little Rocket | Data + digitale innovatie,Yacht;
280,Little Rocket | Data + digitale innovatie,OMLINE;
281,Little Rocket I Data & Digital Innovation,Menzis;
282,Saxion University of Applied Sciences,MITA (Malta Information Technology Agency);
283,Little Rocket,Mindshare;
284,Lions Clubs International,TenneT;
285,Little Rocket,UMCG Universitair Medisch Centrum Groningen ;
286,Saxion University of Applied Sciences,Neerlandsvlak;
287,Koninklijke Grolsch,Osoba prywatna;
288,Little Rocket,Mercedes-Benz Customer Assistance Center Maastricht NV;
289,Koninklijke Grolsch,Twentse Golf Academy;
290,Little Rocket,Root ISP;
291,Koninklijke Grolsch,ARYZTA;
292,Koninklijke Grolsch,Online Marketing Accu;
293,Saxion University of Applied Sciences,Jeugd GGZ Intermetzo (voorheen LSG Rentray en Zonnehuizen);
294,Koninklijke Grolsch,Gifty B.V.;
295,Saxion University of Applied Sciences,Selbstständig;
296,Little Rocket,Folders.nl;
297,Little Rocket,Hebaco Bakovenbouw N.V.;
298,Koninklijke Grolsch,Sticky Bandits;
299,Little Rocket | Data + digitale innovatie,Trino Creative Innovations;
300,Saxion University of Applied Sciences,Wi4;
301,Little Rocket | Data + digitale innovatie,Remgro Web en ICT Oplossingen;
302,Little Rocket | Data + digitale innovatie,Gradua;
303,Saxion University of Applied Sciences,Togather Finance B.V.;
304,Koninklijke Grolsch,Asito;
305,Little Rocket I Data + digitale innovatie,Mepco BV;
306,Lions Clubs International,De Nationale ombudsman;
"307,Little Rocket I Data & Digital Innovation,""Recreate | Augmented, Virtual and Mixed Reality""";
308,Little Rocket,Linkspiel;
309,Little Rocket | Data + digitale innovatie,Instituut HIP;
310,Little Rocket,Live-Sport.tv;
311,Koninklijke Grolsch,Evolve IP Europe;
312,Saxion University of Applied Sciences,GAD Gooi en Vechtstreek;
313,Little Rocket I Data + digitale innovatie,A.S.V. Apeldoornse Boys;
314,Little Rocket,Nienke Vletter;
315,Little Rocket,The Woohoo Partnership;
316,Saxion University of Applied Sciences,Iselinge Hogeschool;
317,Saxion University of Applied Sciences,Concordia Film | Theater | Expositie;
318,Saxion University of Applied Sciences,Planon;
319,Koninklijke Grolsch,Randstad;
320,little rocket,TKH Airport Solutions;
321,Lions Clubs International,Fosby;
322,Little Rocket,FrieslandCampina;
323,Saxion University of Applied Sciences,PT Ragam Kreasi Sapa;
324,Saxion University of Applied Sciences,TeamFysio;
325,Saxion University of Applied Sciences,Möbel Lübbering GmbH;
326,Little Rocket,Van Loo Merkimplementatie;
327,Little Rocket,De Kolk;
328,Lions Clubs International,Kantoorkamers.nl;
329,Little Rocket I Data + digitale innovatie,UXMen | UX-design & Performance Marketing;
330,Little Rocket,JBT FTNON - ALMELO;
331,Koninklijke Grolsch,CO Conseil;
332,Little Rocket,Weerfit Fysiotherapie & Osteopathie;
333,Lions Clubs International,Present Media;
334,Saxion University of Applied Sciences,Fast Forward;
335,Little Rocket,Dienst Uitvoering Onderwijs (DUO);
336,Little Rocket | Data + digitale innovatie,Nedap healthcare;
337,Saxion University of Applied Sciences,VRAMED.nl (unofficial);
